eta0,eta1,eta2,eta3
9.987000226974487305e-01,-9.194999933242797852e-01,1.098999977111816406e-01,-4.871250152587890625e+01
5.541700124740600586e-02,9.364699721336364746e-01,1.400200009346008301e+00,4.967599868774414062e+01
-2.748300075531005859e+00,2.753000020980834961e+00,1.412899971008300781e+00,1.026900024414062500e+02
5.362499970942735672e-03,-8.604599911114448502e-18,1.000000000000000000e+00,5.000000000000000000e+01
-3.051000022888183594e+01,4.745500183105468750e+01,1.950899958610534668e+00,9.850700378417968750e+00
1.000000000000000000e+00,1.196499947747907454e-16,1.000000000000000000e+00,5.000000000000000000e+01
9.998499751091003418e-01,1.003899963158971786e-09,1.293200016021728516e+00,5.636600112915039062e+01
5.541700124740600586e-02,9.364699721336364746e-01,1.400200009346008301e+00,4.967599868774414062e+01
9.999600052833557129e-01,-9.529899954795837402e-01,1.704499959945678711e+00,1.954599952697753906e+01
2.249999961350113153e-04,3.460399974196545156e-19,1.000000000000000000e+00,5.000000000000000000e+01
-2.000000000000000000e+00,-2.392999895495814908e-16,1.000000000000000000e+00,5.000000000000000000e+01
2.536100102588534355e-03,2.078399993479251862e-04,1.279099941253662109e+00,1.014099979400634766e+01
3.159399926662445068e-01,-2.500900067389011383e-02,1.558099985122680664e+00,5.975500106811523438e+00
-2.750000000000000000e+00,-1.570800048430879333e-15,1.000000000000000000e+00,5.000000000000000000e+01
4.262099901097826660e-05,2.089199988404288888e-04,1.275500059127807617e+00,1.012600040435791016e+01
