eta0,eta1,eta2,eta3,eta4
1.841299980878829956e-02,6.695100069046020508e-01,2.033299952745437622e-01,-3.301999997347593307e-03,7.744200229644775391e+00
7.616499904543161392e-03,6.888499855995178223e-01,1.891500055789947510e-01,-9.009700268507003784e-03,7.619500160217285156e+00
6.953899860382080078e-01,-6.952000260353088379e-01,-1.892500072717666626e-01,1.038299966603517532e-02,7.657000064849853516e+00
7.124999761581420898e-01,-5.309799909591674805e-01,-2.283200025558471680e-01,-3.229999914765357971e-02,6.748300075531005859e+00
-2.184500044677406549e-04,6.960700154304504395e-01,1.877399981021881104e-01,-1.055200025439262390e-02,7.656899929046630859e+00
-2.184500044677406549e-04,6.960700154304504395e-01,1.877399981021881104e-01,-1.055200025439262390e-02,7.656899929046630859e+00
-2.184500044677406549e-04,6.960700154304504395e-01,1.877399981021881104e-01,-1.055200025439262390e-02,7.656899929046630859e+00
-2.184500044677406549e-04,6.960700154304504395e-01,1.877399981021881104e-01,-1.055200025439262390e-02,7.656899929046630859e+00
7.616399787366390228e-03,6.888499855995178223e-01,1.891500055789947510e-01,-9.009700268507003784e-03,7.619500160217285156e+00
7.124199867248535156e-01,-5.309000015258789062e-01,-2.282100021839141846e-01,-3.229200094938278198e-02,6.753699779510498047e+00
1.000300049781799316e+00,-1.552499952595098875e-06,-2.994899987243115902e-04,2.009699965128675103e-04,9.977000236511230469e+00
1.000300049781799316e+00,-1.552499952595098875e-06,-2.994899987243115902e-04,2.009699965128675103e-04,9.977000236511230469e+00
1.000300049781799316e+00,-1.552499952595098875e-06,-2.994899987243115902e-04,2.009699965128675103e-04,9.977000236511230469e+00
